ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Grupo de produtos","Aumentar vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Swatches Attributes","Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Atributo padrão 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2","Atributo padrão 2","Metadado: _et_pb_use_builder","Metadado: _et_pb_old_content"
167,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Salmão, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,40,,Cor,"Rosa Salmão",,1,,Tamanho,Infantil,,1,,,
168,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Roxo, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,41,,Cor,Roxo,,1,,Tamanho,Adulto,,1,,,
169,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Roxo, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,42,,Cor,Roxo,,1,,Tamanho,Infantil,,1,,,
170,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Água, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,43,,Cor,"Verde Água",,1,,Tamanho,Adulto,,1,,,
171,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Água, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,44,,Cor,"Verde Água",,1,,Tamanho,Infantil,,1,,,
172,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Bandeira, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,45,,Cor,"Verde Bandeira",,1,,Tamanho,Adulto,,1,,,
173,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Bandeira, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,46,,Cor,"Verde Bandeira",,1,,Tamanho,Infantil,,1,,,
174,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Claro, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,47,,Cor,"Verde Claro",,1,,Tamanho,Adulto,,1,,,
175,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Claro, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,48,,Cor,"Verde Claro",,1,,Tamanho,Infantil,,1,,,
176,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Musgo, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,49,,Cor,"Verde Musgo",,1,,Tamanho,Adulto,,1,,,
177,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Verde Musgo, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,50,,Cor,"Verde Musgo",,1,,Tamanho,Infantil,,1,,,
